Event,Date,Country,Rank,Name,Team,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,lap9,Time,Gap,Points
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,6,MEIN Thomas,HOPE FACTORY RACING,8:51,9:29,9:26,9:28,9:41,9:32,9:37,,,1:06:07,+1:10,20
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,7,VANTHOURENHOUT Michael,PAUWELS SAUZEN - BINGOAL,9:11,9:41,9:22,9:28,9:27,9:29,9:34,,,1:06:14,+1:17,19
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,8,KUHN Kevin,CHARLES LIÉGEOIS ROASTERY CX,8:41,9:34,9:33,9:34,9:33,9:40,9:44,,,1:06:23,+1:26,18
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,9,BOROŠ Michael,ELKOV - KASPER,8:51,9:34,9:30,9:29,9:35,9:45,9:45,,,1:06:32,+1:35,17
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,10,ORTS LLORET Felipe,RIDLEY RACING TEAM,8:37,9:40,9:29,9:31,9:37,9:52,9:52,,,1:06:41,+1:44,16
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,11,VERSTRYNGE Emiel,CRELAN-CORENDON,8:38,9:39,9:32,9:33,9:40,10:10,9:46,,,1:07:02,+2:05,15
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,12,DUBAU Joshua,DECATHLON FORD RACING TEAM,8:47,9:34,9:30,9:33,9:35,10:11,9:53,,,1:07:07,+2:10,14
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,13,VENTURINI Clement,ARKEA-B&B HOTELS,8:50,9:33,9:33,9:39,9:47,9:55,9:52,,,1:07:11,+2:14,13
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,14,VAN KESSEL Corne,DESCHACHT- HENS-FSP,8:49,9:41,9:41,9:56,9:46,9:42,9:39,,,1:07:18,+2:21,12
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,15,HENDRIKX Mees,HEIZOMAT RADTEAM P/B HERRMANN,8:49,9:29,9:42,9:45,9:59,9:45,9:51,,,1:07:23,+2:26,11
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,16,ADAMS Jens,,8:47,9:33,9:33,9:47,9:45,10:09,9:53,,,1:07:30,+2:33,10
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,17,VANDEBOSCH Toon,CRELAN-CORENDON,8:43,9:45,9:43,9:41,9:45,9:59,10:08,,,1:07:46,+2:49,9
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,18,SWEECK Laurens,CRELAN-CORENDON,8:47,9:30,9:33,9:32,10:02,10:08,10:32,,,1:08:06,+3:09,8
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,19,RONHAAR Pim,BALOISE TREK LIONS,8:40,9:47,9:47,10:02,10:02,10:03,9:55,,,1:08:18,+3:21,7
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,20,FUNSTON Scott,,9:20,9:39,9:48,9:46,9:46,10:06,9:58,,,1:08:25,+3:28,6
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,21,MENUT David,AS BIKE RACING,8:58,9:44,9:55,9:57,9:41,10:23,9:57,,,1:08:37,+3:40,5
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,22,GROSLAMBERT Martin,JB BRUNEX SUPERIOR FACTORY RACING,9:08,9:52,9:47,9:46,10:03,10:00,10:03,,,1:08:42,+3:45,4
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,23,DOUBEY Fabien,TOTALENERGIES,9:08,9:41,9:46,9:49,9:59,10:12,10:19,,,1:08:57,+4:00,3
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,24,LOOCKX Lander,TDT-UNIBET,9:06,9:45,10:03,9:57,10:03,9:59,10:07,,,1:09:03,+4:06,2
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,25,KAMP Ryan,,8:42,10:12,9:47,10:02,10:09,10:11,9:59,,,1:09:06,+4:09,1
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,26,WIEDMANN Luke,THÖMUS MAXON,9:21,9:49,10:00,9:59,10:02,10:02,10:04,,,1:09:20,+4:23,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,27,ROUILLER Loris,HEIZOMAT RADTEAM P/B HERRMANN,8:37,9:30,9:53,10:07,10:23,10:34,10:21,,,1:09:29,+4:32,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,28,RECULEAU Nicolas,TEAM GUEVEL ROADBORN,8:55,9:39,9:54,10:03,10:18,10:41,10:15,,,1:09:49,+4:52,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,29,SUAREZ FERNANDEZ Kevin,NESTA - MMR CYCLING TEAM,9:25,10:04,10:05,10:04,10:07,10:02,10:07,,,1:09:56,+4:59,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,30,BETON Damien,,9:24,9:54,9:53,10:07,10:12,10:24,10:29,,,1:10:26,+5:29,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,31,SOMMER Lars,HEIZOMAT RADTEAM P/B HERRMANN,8:55,9:59,10:17,10:37,10:23,10:29,9:59,,,1:10:41,+5:44,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,32,DUBAU Lucas,,9:20,9:57,10:10,10:08,10:21,10:28,10:17,,,1:10:44,+5:47,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,33,GABRIEL Timothé,,9:26,10:15,10:23,10:28,10:06,10:13,10:10,,,1:11:04,+6:07,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,34,BERTOLINI Gioele,FAS AIRPORT SERVICES - GUERCIOTTI,9:25,9:55,10:06,10:12,10:04,10:08,11:15,,,1:11:09,+6:12,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,35,KONWA Marek,,9:10,10:20,10:12,10:17,10:20,10:31,10:19,,,1:11:12,+6:15,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,36,FORSTER Lars,THÖMUS MAXON,9:32,9:52,10:43,10:14,10:08,10:20,10:23,,,1:11:15,+6:18,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,37,BRUNNER Eric,COMPETITIVE EDGE RACING,9:20,10:08,10:04,10:48,10:13,10:21,10:29,,,1:11:25,+6:28,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,38,LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,9:05,9:46,10:01,10:09,10:48,10:46,10:59,,,1:11:37,+6:40,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,39,CEOLIN Federico,,9:04,10:13,10:24,10:17,10:30,10:39,10:36,,,1:11:46,+6:49,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,40,REMONDET Valentin,ARDENNES CROSS TEAM GECIBAT,9:08,10:19,10:13,10:18,10:30,10:32,10:48,,,1:11:53,+6:56,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,41,BARD Nicolas,,9:16,10:19,10:18,10:27,10:28,10:30,10:53,,,1:12:14,+7:17,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,42,NAVARRO Quentin,,9:24,9:59,10:24,10:17,10:50,10:42,10:52,,,1:12:30,+7:33,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,43,WHITE Curtis,,9:23,10:13,10:19,10:27,10:36,10:51,11:36,,,1:13:27,+8:30,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,44,KÖPSEL Jonas,PETER PANE NAGEL CX TEAM,9:30,10:37,10:38,10:42,10:47,,,,,1:02:58,+8:17,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,45,BRENNEMAN Owen,CXD TREK BIKES,9:41,10:33,10:32,10:54,10:51,,,,,1:03:00,+8:19,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,46,CALLIGARO Cristian,KTM ALCHEMIST POWERED BY BRENTA BRAKES,9:31,10:21,10:53,10:57,11:00,,,,,1:03:04,+8:23,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,47,JUNQUERA SAN MILLAN Mario,UNICAJA - GIJON,9:39,10:43,10:29,10:45,10:55,,,,,1:03:11,+8:30,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,48,VAN KEMPEN Jules,,9:52,10:36,10:29,11:01,,,,,,52:27,+7:22,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,49,FREDERICK Ben,,9:46,10:49,10:50,11:05,,,,,,53:09,+8:04,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,50,OBERTEICHER Matteo,PETER PANE NAGEL CX TEAM,9:51,11:05,10:57,11:19,,,,,,54:04,+8:59,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,51,MAILLEFER Simon,,9:52,10:56,11:06,11:12,,,,,,54:05,+9:00,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,52,HEIGL Philipp,,10:29,11:24,11:30,,,,,,,44:28,+8:41,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,53,GILIOLI Samuele Silla,,10:27,11:30,11:50,,,,,,,45:18,+9:31,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,54,ZECCHINI Simone,,10:28,11:49,,,,,,,,33:56,+7:29,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,55,MARZANI Marco,,10:30,12:14,,,,,,,,34:08,+7:41,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,56,SUZUKI Raito,,10:46,12:36,,,,,,,,35:08,+8:41,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,57,SPADONI Gabriele,,10:49,12:53,,,,,,,,35:43,+9:16,0
UCI Cyclo-Cross World Cup #8 - Besançon,29 December 2024,FRA,DNF,STROHMEYER Andrew,CXD TREK BIKES,9:22,10:43,,,,,,,,27:57,+3:43,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,1,VAN AERT Wout,TEAM VISMA | LEASE A BIKE,7:57,7:39,7:30,7:36,7:43,7:45,8:03,8:23,,1:02:49,,40
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,2,VERSTRYNGE Emiel,CRELAN-CORENDON,7:53,7:45,7:44,7:53,7:59,8:07,8:14,8:22,,1:04:09,+1:20,30
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,3,WYSEURE Joran,CRELAN-CORENDON,7:58,8:01,8:00,7:56,7:59,8:04,8:03,8:16,,1:04:30,+1:41,25
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,4,AERTS Toon,DESCHACHT- HENS-FSP,7:53,7:48,7:58,8:04,8:01,8:15,8:25,8:06,,1:04:41,+1:52,22
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,5,VANTHOURENHOUT Michael,PAUWELS SAUZEN - CIBEL CLEMENTINES,8:03,8:15,7:45,8:02,7:55,8:08,8:15,8:38,,1:05:13,+2:24,21
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,6,RONHAAR Pim,BALOISE GLOWI LIONS,7:52,7:48,7:57,8:09,8:24,8:22,8:29,8:18,,1:05:32,+2:43,20
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,7,KUHN Kevin,CHARLES LIÉGEOIS ROASTERY CX,8:02,7:57,7:50,8:05,8:05,8:34,8:28,8:24,,1:05:38,+2:49,19
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,8,NYS Thibau,BALOISE GLOWI LIONS,7:58,8:24,7:50,7:54,8:05,8:23,8:57,8:20,,1:06:03,+3:14,18
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,9,MASON Cameron,SEVEN RACING,8:14,8:32,8:06,8:00,8:15,8:14,8:17,8:15,,1:06:04,+3:15,17
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,10,HENDRIKX Mees,HEIZOMAT RADTEAM P/B HERRMANN,8:02,7:57,7:59,8:07,8:22,8:28,8:35,8:42,,1:06:24,+3:35,16
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,11,ISERBYT Eli,PAUWELS SAUZEN - CIBEL CLEMENTINES,8:14,8:04,8:10,8:16,8:25,8:18,8:26,8:30,,1:06:35,+3:46,15
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,12,ORTS LLORET Felipe,RIDLEY RACING TEAM,8:08,8:02,8:01,8:12,8:22,8:35,8:32,8:36,,1:06:41,+3:52,14
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,13,VANDEBOSCH Toon,CRELAN-CORENDON,8:14,8:04,8:09,8:14,8:27,8:25,8:26,8:31,,1:06:43,+3:54,13
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,14,DUBAU Joshua,DECATHLON FORD RACING TEAM,8:21,7:57,8:08,8:13,8:28,8:19,8:26,8:38,,1:06:43,+3:54,12
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,15,BOROŠ Michael,ELKOV - KASPER,8:14,8:04,7:57,8:26,8:28,8:27,8:35,8:36,,1:06:58,+4:09,11
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,16,KAMP Ryan,,8:10,8:00,8:05,8:25,8:27,8:33,8:35,8:53,,1:07:21,+4:32,10
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,17,VAN KESSEL Corne,DESCHACHT- HENS-FSP,7:57,8:01,8:00,8:18,8:20,8:38,9:00,9:13,,1:07:40,+4:51,9
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,18,SOMMER Lars,HEIZOMAT RADTEAM P/B HERRMANN,8:14,8:13,8:10,8:25,8:15,8:41,8:43,8:49,,1:07:44,+4:55,8
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,19,VAN DER HAAR Lars,BALOISE GLOWI LIONS,8:15,8:12,8:11,8:24,8:15,8:26,8:53,9:07,,1:07:55,+5:06,7
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,20,VIEZZI Stefano,,8:38,8:04,8:02,8:28,8:40,8:44,8:35,8:38,,1:08:02,+5:13,6
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,21,VANDENBERGHE Viktor,PAUWELS SAUZEN - CIBEL CLEMENTINES,8:21,8:13,8:14,8:43,8:40,8:32,8:31,8:52,,1:08:19,+5:30,5
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,22,FERDINANDE Anton,,8:29,8:10,8:30,8:31,8:31,8:46,8:51,8:52,,1:08:53,+6:04,4
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,23,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,8:14,8:14,8:10,8:24,8:35,8:46,8:58,9:26,,1:08:59,+6:10,3
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,24,DE BRAUWERE Sil,PAUWELS SAUZEN - CIBEL CLEMENTINES,8:38,8:13,8:17,8:30,8:37,8:49,8:50,9:07,,1:09:15,+6:26,2
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,25,REMIJN Senna,,8:28,8:09,8:31,8:46,8:39,8:54,9:06,9:32,,1:10:19,+7:30,1
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,26,WHITE Curtis,,8:39,8:22,8:32,8:45,8:49,9:02,,,,59:58,+6:44,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,27,VENTURINI Clement,ARKEA-B&B HOTELS,8:32,8:16,8:22,8:41,8:51,9:02,,,,1:00:02,+6:48,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,28,GROSLAMBERT Martin,,8:28,8:22,8:32,8:40,9:00,9:06,,,,1:00:17,+7:03,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,29,BEHRENS Eike,,8:20,8:29,8:36,8:52,9:04,,,,,51:14,+6:02,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,30,TAKÁCS Zsombor,,8:54,8:39,8:43,8:44,8:42,,,,,51:34,+6:22,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,31,LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,8:35,8:38,8:33,9:00,8:57,,,,,51:47,+6:35,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,32,BETON Damien,,8:37,8:44,8:54,8:52,8:52,,,,,51:53,+6:41,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,33,KUSCHLA Silas,,8:48,8:28,9:08,8:50,8:46,,,,,51:55,+6:43,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,34,BERTOLINI Gioele,FAS AIRPORT SERVICES - GUERCIOTTI,8:38,8:58,8:43,9:04,8:39,,,,,51:58,+6:46,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,35,FIALA Matyáš,,8:46,8:48,8:45,8:42,8:56,,,,,52:03,+6:51,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,36,HOJKA František,,8:43,8:32,8:35,8:42,9:10,,,,,52:07,+6:55,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,37,ST ONGE Maxime,,8:38,8:37,8:59,9:02,9:00,,,,,52:09,+6:57,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,38,HARTER Luca,,8:45,8:43,8:55,8:54,9:02,,,,,52:17,+7:05,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,39,ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,8:48,8:35,8:44,9:07,9:11,,,,,52:25,+7:13,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,40,GROENENDAAL Bailey,,8:52,8:40,8:49,9:00,9:06,,,,,52:35,+7:23,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,41,GABRIEL Timothé,,8:36,9:00,8:41,8:58,,,,,,43:34,+6:05,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,42,VAS Barnabás,,8:45,8:40,8:51,8:59,,,,,,43:38,+6:09,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,43,HAVERDINGS Floris,,8:51,8:33,8:51,9:20,,,,,,43:55,+6:26,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,44,HERRMANN Lukas,HEIZOMAT RADTEAM P/B HERRMANN,8:58,8:57,9:05,9:07,,,,,,44:16,+6:47,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,45,SHELTON Noah,,9:05,8:49,9:05,9:03,,,,,,44:17,+6:48,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,46,KOECH Silas,PETER PANE NAGEL CX TEAM,9:01,8:48,9:03,9:08,,,,,,44:24,+6:55,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,47,BREGENZER Alex,,9:18,9:04,9:14,,,,,,,35:50,+6:03,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,48,CRISPIN Mickaël,,8:47,8:56,9:30,,,,,,,35:54,+6:07,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,49,KUBA Jakub,ELKOV - KASPER,9:13,9:10,9:08,,,,,,,35:55,+6:08,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,50,ODA Hijiri,,9:09,9:02,9:14,,,,,,,35:56,+6:09,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,51,KING Carden,,9:12,9:10,9:19,,,,,,,35:57,+6:10,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,52,BOLZAN Edoardo,,9:07,9:02,9:40,,,,,,,36:14,+6:27,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,53,VAN KEMPEN Jules,,9:25,9:05,9:20,,,,,,,36:18,+6:31,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,54,PECK Justin,,9:34,9:21,9:13,,,,,,,36:27,+6:40,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,55,FREDERICK Ben,,9:19,9:20,9:35,,,,,,,36:31,+6:44,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,56,WOODFORD Alexander,,9:12,9:09,9:10,,,,,,,36:35,+6:48,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,57,MERINO Fabian,,9:24,9:29,9:40,,,,,,,36:55,+7:08,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,58,SCOTT Cody,COMPETITIVE EDGE RACING,9:12,9:26,9:50,,,,,,,37:08,+7:21,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,59,DELGROSSO Ethan,COMPETITIVE EDGE RACING,9:33,9:33,9:39,,,,,,,37:15,+7:28,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,60,GUÉRIN Morgan,,9:16,10:08,9:31,,,,,,,37:36,+7:49,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,61,FERRI Tommaso,FAS AIRPORT SERVICES - GUERCIOTTI,9:38,9:45,9:54,,,,,,,37:59,+8:12,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,62,SARGENT Liam,,9:20,9:26,10:30,,,,,,,38:27,+8:40,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,63,VALENTINI Matteo,,9:40,9:40,10:05,,,,,,,38:34,+8:47,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,64,SUZUKI Raito,,9:47,10:06,,,,,,,,28:42,+6:31,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,65,ENDO Kosuke,OLANDA BASE/WATERSLEY,9:46,10:06,,,,,,,,28:49,+6:38,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,66,STARK Filip,,10:05,10:28,,,,,,,,29:40,+7:29,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,67,ZECCHINI Simone,,9:46,10:38,,,,,,,,30:34,+8:23,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,68,KAJI Tetsuki,OLANDA BASE/WATERSLEY,10:43,10:38,,,,,,,,30:57,+8:46,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,69,BRUYNSEELS Dries,BRUVO DUKLA BRATISLAVA,10:08,11:14,,,,,,,,31:32,+9:21,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,70,OKAYAMA Yuta,OLANDA BASE/WATERSLEY,10:29,11:01,,,,,,,,32:04,+9:53,0
UCI Cyclo-Cross World Cup #9 - Dendermonde,5 Janvier 2025,BEL,DNF,MEISEN Marcel,,9:26,9:23,,,,,,,,20:56,+3:35,0
UCI Cyclo-Cross World Cup #10 - Benidorm,19 Janvier 2025,ESP,1,NYS Thibau,BALOISE GLOWI LIONS,7:11,7:06,7:00,6:58,7:05,7:13,7:01,6:45,,56:31,,40
UCI Cyclo-Cross World Cup #10 - Benidorm,19 Janvier 2025,ESP,2,ISERBYT Eli,PAUWELS SAUZEN - CIBEL CLEMENTINES,7:08,7:07,7:01,7:00,7:04,7:07,7:07,6:47,,56:34,+3,30
