Name,Team,Nationality,Length,Weight,Age,AVG,FLT,COB,HLL,MTN,SPR,ITT,GC,OR
Pablo Carrascosa,Equipo Kern Pharma,Spain,178,58,22,27,21,20,22,29,22,20,25,20
Haimar Etxeberria,Equipo Kern Pharma,Spain,177,65,21,35,29,20,38,22,28,20,23,39
Hugo Aznar,Equipo Kern Pharma,Spain,168,59,21,33,29,20,36,24,25,28,24,32
Ibai Azanza,Equipo Kern Pharma,Spain,193,74,20,24,22,20,22,24,21,22,23,21
Nil Gimeno,Equipo Kern Pharma,Spain,174,60,20,24,23,20,25,24,21,20,22,20
Antonio Soto,Equipo Kern Pharma,Spain,175,66,30,59,50,37,46,26,67,23,32,60
Miguel Angel Fernandez,Equipo Kern Pharma,Spain,185,78,27,52,44,20,35,26,62,20,27,36
Iñigo Elosegui,Equipo Kern Pharma,Spain,188,75,26,40,35,32,41,27,36,23,35,42
Francisco Galván,Equipo Kern Pharma,Spain,176,69,27,60,51,38,52,26,65,20,34,73
Urko Berrade,Equipo Kern Pharma,Spain,184,72,27,66,48,20,73,53,41,43,49,52
José Félix Parra,Equipo Kern Pharma,Spain,171,55,28,66,31,20,45,71,34,20,63,45
Ivan Sosa,Equipo Kern Pharma,Colombia,168,52,27,68,35,20,56,72,34,20,59,53
Marc Brustenga,Equipo Kern Pharma,Spain,190,80,25,46,38,29,34,24,54,20,28,42
Unai Iribar,Equipo Kern Pharma,Spain,183,64,25,54,39,20,57,45,41,20,44,59
Ivan Cobo,Equipo Kern Pharma,Spain,186,64,25,44,31,20,47,34,36,20,37,41
Ibon Ruiz,Equipo Kern Pharma,Spain,178,65,25,48,36,20,51,41,39,20,42,52
Louis Sutton,Euskaltel-Euskadi,Great Britain,0,0,22,33,30,20,34,30,30,20,24,31
Paul Hennequin,Euskaltel-Euskadi,France,175,64,22,52,48,28,40,24,61,20,30,43
Xabier Berasategi,Euskaltel-Euskadi,Spain,0,0,24,58,46,35,62,34,54,20,34,70
Unai Zubeldia,Euskaltel-Euskadi,Spain,187,72,21,30,28,20,31,22,29,20,23,35
Xabier Isasa,Euskaltel-Euskadi,Spain,185,0,23,47,39,34,49,27,46,24,34,53
Iker Mintegi,Euskaltel-Euskadi,Spain,0,0,22,42,32,20,47,27,33,20,28,48
Iker Bonillo,Euskaltel-Euskadi,Spain,0,0,21,39,33,20,31,22,44,20,25,39
Victor De La Parte,Euskaltel-Euskadi,Spain,181,64,38,47,36,20,50,41,33,31,42,48
Nicolas Alustiza,Euskaltel-Euskadi,Spain,185,0,22,32,27,20,33,23,32,20,24,38
Andoni Lopez de Abetxuko,Euskaltel-Euskadi,Spain,185,74,25,50,44,29,41,26,57,20,26,50
Jordi Lopez,Euskaltel-Euskadi,Spain,170,59,26,47,34,20,49,36,37,20,43,51
Gotzon Martín,Euskaltel-Euskadi,Spain,0,0,28,60,50,39,62,36,61,20,42,66
Danny van der Tuuk,Euskaltel-Euskadi,Poland,180,64,25,38,34,27,38,27,31,35,27,45
Ander Ganzabal,Euskaltel-Euskadi,Spain,176,62,25,27,24,20,27,20,28,20,20,30
Jon Aberasturi,Euskaltel-Euskadi,Spain,173,69,35,67,57,31,45,24,82,20,32,65
David Dekker,Euskaltel-Euskadi,Netherlands,190,80,26,64,56,45,38,23,76,25,32,63
Txomin Juaristi,Euskaltel-Euskadi,Spain,182,675,29,52,44,20,48,45,38,48,44,48
Jon Agirre,Euskaltel-Euskadi,Spain,173,55,27,46,31,20,45,47,31,20,40,42
Jokin Murguialday,Euskaltel-Euskadi,Spain,173,57,24,42,29,25,36,42,31,20,39,37
Mikel Bizkarra,Euskaltel-Euskadi,Spain,165,53,35,62,30,20,44,66,29,25,61,43
Marton Dina,Euskaltel-Euskadi,Hungary,186,67,28,50,42,20,47,45,32,34,44,43
Rémy Rochas,Groupama-FDJ,France,164,51,28,69,46,20,77,50,48,28,58,65
Kevin Geniets,Groupama-FDJ,Luxembourg,193,73,28,69,55,53,74,56,50,36,49,75
David Gaudu,Groupama-FDJ,France,172,53,28,90,62,43,89,90,56,54,90,83
Valentin Madouas,Groupama-FDJ,France,179,71,28,89,84,90,92,72,71,38,71,94
Clément Davy,Groupama-FDJ,France,183,73,26,45,42,41,39,27,34,46,36,47
Johan Jacobs,Groupama-FDJ,Switzerland,192,78,27,61,50,66,49,25,50,31,34,67
Cyril Barthe,Groupama-FDJ,France,184,70,28,56,44,27,52,30,61,24,40,55
Clément Russo,Groupama-FDJ,France,187,73,30,71,59,52,50,32,83,35,38,66
Lars van den Berg,Groupama-FDJ,Netherlands,185,72,26,45,35,25,46,42,40,27,32,46
Sven Erik Bystrøm,Groupama-FDJ,Norway,188,73,33,58,46,51,60,32,50,36,45,65
Matthew Walls,Groupama-FDJ,Great Britain,177,72,26,47,38,28,36,22,55,20,27,40
Paul Penhoët,Groupama-FDJ,France,173,64,23,80,71,51,66,31,89,20,48,84
Olivier Le Gac,Groupama-FDJ,France,180,70,31,66,55,70,53,31,56,25,38,72
Guillaume Martin,Groupama-FDJ,France,173,55,31,89,67,29,90,87,70,40,88,90
Enzo Paleni,Groupama-FDJ,France,180,65,22,60,53,41,62,39,58,49,40,64
Lorenzo Germani,Groupama-FDJ,Italy,180,66,22,55,39,20,61,42,38,32,40,60
Tom Donnenwirth,Groupama-FDJ,France,178,63,27,47,35,20,47,35,38,24,44,37
Romain Grégoire,Groupama-FDJ,France,176,64,22,87,69,26,92,63,61,71,70,91
Eddy Le Huitouze,Groupama-FDJ,France,184,72,21,50,47,44,36,24,42,53,36,50
Brieuc Rolland,Groupama-FDJ,France,179,59,21,50,37,20,54,45,37,27,38,54
Stefan Küng,Groupama-FDJ,Switzerland,193,83,31,94,93,93,89,60,77,95,54,93
Quentin Pacher,Groupama-FDJ,France,179,62,33,80,60,39,85,71,64,52,65,82
Thibaud Gruel,Groupama-FDJ,France,180,70,20,63,52,32,67,28,53,37,34,75
Remi Cavagna,Groupama-FDJ,France,186,78,29,73,69,52,58,32,43,83,49,65
Rudy Molard,Groupama-FDJ,France,178,62,35,77,46,20,83,62,48,30,56,86
Clément Braz Afonso,Groupama-FDJ,France,163,50,25,53,39,20,59,31,38,20,37,62
Lewis Askey,Groupama-FDJ,Great Britain,187,75,23,81,73,84,65,29,77,27,36,86
Filippo Ganna,INEOS Grenadiers,Italy,193,83,28,91,92,76,67,48,75,98,53,91
Artem Shmidt,INEOS Grenadiers,United States,191,76,20,42,40,26,39,22,36,44,31,45
Michael Leonard,INEOS Grenadiers,Canada,170,60,20,44,37,20,36,30,32,39,30,39
AJ August,INEOS Grenadiers,United States,170,57,19,39,33,29,40,36,27,33,36,38
Victor Langellotti,INEOS Grenadiers,Monaco,177,64,29,58,40,20,64,42,39,20,49,57
Joshua Tarling,INEOS Grenadiers,Great Britain,194,78,20,86,89,79,51,39,45,95,40,89
Magnus Sheffield,INEOS Grenadiers,United States,183,73,22,91,87,88,85,64,60,91,67,90
Michal Kwiatkowski,INEOS Grenadiers,Poland,176,68,34,74,58,44,78,65,49,65,56,76
Laurens De Plus,INEOS Grenadiers,Belgium,190,67,29,84,47,37,70,87,47,58,85,62
Axel Laurance,INEOS Grenadiers,France,179,66,23,76,59,32,83,35,67,29,51,79
Tobias Foss,INEOS Grenadiers,Norway,184,74,27,79,80,24,55,41,36,92,52,75
Lucas Hamilton,INEOS Grenadiers,Australia,184,71,28,54,39,20,59,41,40,28,48,54
Salvatore Puccio,INEOS Grenadiers,Italy,182,68,35,38,30,32,36,25,38,20,36,42
Óscar Rodríguez,INEOS Grenadiers,Spain,179,63,29,66,35,20,60,68,34,33,60,45
Connor Swift,INEOS Grenadiers,Great Britain,190,75,29,66,56,70,62,30,43,52,43,70
Egan Bernal,INEOS Grenadiers,Colombia,175,60,28,86,43,26,74,89,53,39,85,46
Brandon Rivera,INEOS Grenadiers,Colombia,170,60,28,62,43,27,60,59,47,41,61,46
Bob Jungels,INEOS Grenadiers,Luxembourg,189,70,32,72,47,37,68,74,57,53,63,62
Ben Turner,INEOS Grenadiers,Great Britain,194,74,25,78,65,82,68,34,58,49,50,82
Geraint Thomas,INEOS Grenadiers,Great Britain,183,71,38,90,70,32,71,90,51,88,90,49
Omar Fraile,INEOS Grenadiers,Spain,184,72,34,50,34,20,54,43,34,25,42,42
Kim Heiduk,INEOS Grenadiers,Germany,184,70,24,54,46,40,49,30,56,35,38,52
Thymen Arensman,INEOS Grenadiers,Netherlands,192,68,25,89,70,20,75,89,45,89,89,57
Ben Swift,INEOS Grenadiers,Great Britain,179,69,37,60,51,53,54,46,62,20,40,62
Carlos Rodriguez,INEOS Grenadiers,Spain,183,67,23,91,64,42,87,92,65,76,92,70
Jonathan Castroviejo,INEOS Grenadiers,Spain,171,62,37,70,46,26,52,73,37,61,64,35
Sam Watson,INEOS Grenadiers,Great Britain,186,68,23,69,65,62,61,30,60,56,46,71
Alexander Kamp,Intermarché-Wanty,Denmark,186,74,31,61,43,23,67,26,44,29,41,75
Gijs Van Hoecke,Intermarché-Wanty,Belgium,186,78,33,61,52,48,47,24,67,27,32,63
Gerben Thijssen,Intermarché-Wanty,Belgium,174,74,26,81,86,44,58,24,93,20,29,91
Roel van Sintmaartensdijk,Intermarché-Wanty,Netherlands,197,77,23,50,51,47,42,23,50,41,39,60
Luca Van Boven,Intermarché-Wanty,Belgium,179,68,25,63,50,55,65,30,52,25,39,74
Hugo Page,Intermarché-Wanty,France,185,71,23,78,68,73,71,29,79,34,41,86
Biniam Girmay,Intermarché-Wanty,Eritrea,184,70,24,93,90,87,89,38,96,43,37,94
Louis Meintjes,Intermarché-Wanty,South Africa,173,58,32,82,43,27,67,85,56,41,81,46
Arne Marit,Intermarché-Wanty,Belgium,185,72,26,72,64,46,56,24,84,20,36,69
Kevin Colleoni,Intermarché-Wanty,Italy,180,66,25,48,36,20,51,33,41,20,40,46
Kamiel Bonneu,Intermarché-Wanty,Belgium,178,62,25,57,39,38,63,39,39,20,48,55
Tom Paquot,Intermarché-Wanty,Belgium,184,70,25,43,37,31,42,27,45,23,31,49
Laurenz Rex,Intermarché-Wanty,Belgium,193,82,25,85,76,89,69,27,81,29,38,90
Gerben Kuypers,Intermarché-Wanty,Belgium,0,0,24,34,30,25,33,27,35,20,27,41
Louis Barré,Intermarché-Wanty,France,184,68,24,67,47,20,75,30,45,20,48,74
Georg Zimmermann,Intermarché-Wanty,Germany,181,70,27,82,67,56,90,55,66,32,52,90
Kobe Goossens,Intermarché-Wanty,Belgium,178,64,28,64,44,27,70,45,48,34,46,73
Jonas Rutsch,Intermarché-Wanty,Germany,197,82,27,68,56,70,63,29,57,32,42,77
Taco van der Hoorn,Intermarché-Wanty,Netherlands,187,73,31,63,64,67,44,23,56,24,30,71
Dion Smith,Intermarché-Wanty,New Zealand,179,67,31,60,50,46,63,30,57,23,39,66
Dries De Pooter,Intermarché-Wanty,Belgium,182,61,22,61,52,63,51,31,59,20,31,65
Huub Artz,Intermarché-Wanty,Netherlands,186,71,22,54,50,44,46,39,56,35,32,62
Francesco Busatto,Intermarché-Wanty,Italy,172,62,22,73,52,30,83,35,54,20,36,86
Alexy Faure-Prost,Intermarché-Wanty,France,185,67,20,42,29,22,38,43,29,24,38,41
Simone Petilli,Intermarché-Wanty,Italy,178,65,31,55,35,20,61,42,34,20,40,59
Lorenzo Rota,Intermarché-Wanty,Italy,173,62,29,81,66,48,90,43,65,26,51,90
Adrien Petit,Intermarché-Wanty,France,188,80,34,59,49,62,39,25,58,20,33,65
Vito Braet,Intermarché-Wanty,Belgium,184,68,24,73,61,59,74,25,72,30,34,86
Nadav Raisberg,Israel-Premier Tech,Israel,178,67,23,49,44,44,46,28,49,30,32,54
Riley Pickrell,Israel-Premier Tech,Canada,169,72,23,58,47,44,40,22,68,20,26,52
Matthew Riccitello,Israel-Premier Tech,United States,172,55,22,78,31,20,56,86,29,37,68,44
Michael Woods,Israel-Premier Tech,Canada,175,62,38,84,55,23,90,84,52,25,57,89
George Bennett,Israel-Premier Tech,New Zealand,180,58,34,79,46,23,81,79,44,27,66,72
Itamar Einhorn,Israel-Premier Tech,Israel,172,72,27,68,62,34,47,25,81,20,26,73
Stephen Williams,Israel-Premier Tech,Great Britain,183,59,28,82,49,20,90,60,57,27,66,87
Pier-André Côté,Israel-Premier Tech,Canada,181,0,27,65,56,43,63,32,55,63,40,75
Derek Gee,Israel-Premier Tech,Canada,189,76,27,88,72,67,76,85,65,88,87,73
Nick Schultz,Israel-Premier Tech,Australia,180,68,30,74,52,20,83,54,56,36,49,77
Krists Neilands,Israel-Premier Tech,Latvia,189,69,30,76,62,78,77,51,59,37,49,82
Jakob Fuglsang,Israel-Premier Tech,Denmark,181,65,39,72,53,62,76,67,44,50,53,72
Simon Clarke,Israel-Premier Tech,Australia,175,63,38,75,61,68,78,30,60,20,41,83
Joe Blackmore,Israel-Premier Tech,Great Britain,181,0,21,70,52,30,76,46,52,38,57,71
Alexey Lutsenko,Israel-Premier Tech,Kazakhstan,174,74,32,81,67,56,85,74,56,68,61,85
Hugo Houle,Israel-Premier Tech,Canada,183,72,34,66,52,52,69,59,59,42,55,65
Jan Hirt,Israel-Premier Tech,Czech Republic,181,62,34,81,35,20,55,87,45,33,81,32
Matis Louvel,Israel-Premier Tech,France,187,73,25,74,63,71,73,35,68,28,37,84
Michael Schwarzmann,Israel-Premier Tech,Germany,174,69,34,51,42,34,39,23,58,20,34,51
Jake Stewart,Israel-Premier Tech,Great Britain,179,66,25,71,56,41,64,31,80,28,40,69
Chris Froome,Israel-Premier Tech,Great Britain,186,68,39,43,25,23,32,49,26,20,32,36
Tom Van Asbroeck,Israel-Premier Tech,Belgium,182,72,34,84,82,86,70,25,86,20,34,90
Ethan Vernon,Israel-Premier Tech,Great Britain,188,74,24,80,72,44,57,26,88,59,36,68
Riley Sheehan,Israel-Premier Tech,United States,182,67,24,78,66,80,71,25,65,26,33,89
Marco Frigo,Israel-Premier Tech,Italy,188,65,24,66,44,24,69,60,35,53,43,52
Corbin Strong,Israel-Premier Tech,New Zealand,171,64,24,87,80,68,90,40,87,25,46,91
Oded Kogut,Israel-Premier Tech,Israel,171,77,23,65,60,46,37,21,75,44,29,65
Pascal Ackermann,Israel-Premier Tech,Germany,182,78,31,85,83,76,58,29,93,20,37,79
Guillaume Boivin,Israel-Premier Tech,Canada,182,78,35,63,54,62,55,28,63,20,33,72
Hugo Hofstetter,Israel-Premier Tech,France,170,65,30,84,78,73,67,26,90,24,35,88
Toms Skujins,Lidl-Trek,Latvia,181,70,33,90,85,90,93,55,72,48,49,94
Mathias Vacek,Lidl-Trek,Czech Republic,188,75,22,87,83,68,77,42,78,90,51,88
Tim Torn Teutenberg,Lidl-Trek,Germany,183,0,22,69,62,46,47,21,80,28,33,72
Thibau Nys,Lidl-Trek,Belgium,176,64,22,76,49,40,82,70,56,20,49,75
Søren Kragh Andersen,Lidl-Trek,Denmark,178,73,30,84,80,86,76,36,78,56,48,90
Tao Geoghegan Hart,Lidl-Trek,Great Britain,183,65,29,75,52,20,69,72,33,75,72,28
Mads Pedersen,Lidl-Trek,Denmark,180,70,29,93,94,94,90,36,93,80,61,95
Sam Oomen,Lidl-Trek,Netherlands,177,65,29,67,41,20,70,67,45,24,54,62
Ryan Gibbons,Lidl-Trek,South Africa,182,70,30,71,59,49,52,32,83,47,39,59
Julien Bernard,Lidl-Trek,France,176,60,32,72,47,32,77,63,49,36,60,70
Tim Declercq,Lidl-Trek,Belgium,190,78,35,61,50,69,43,28,49,26,37,60
Giulio Ciccone,Lidl-Trek,Italy,176,58,30,89,55,39,90,90,58,40,87,85
Jacopo Mosca,Lidl-Trek,Italy,173,65,31,55,43,31,57,28,58,20,39,56
Simone Consonni,Lidl-Trek,Italy,165,60,30,81,73,63,59,27,90,26,38,83
Otto Vergaerde,Lidl-Trek,Belgium,181,74,30,52,44,53,42,25,51,20,38,57
Albert Withen Philipsen,Lidl-Trek,Denmark,184,0,18,32,27,20,35,20,28,20,20,20
Lennard Kämna,Lidl-Trek,Germany,181,65,28,80,55,23,76,77,55,73,75,53
Amanuel Ghebreigzabhier,Lidl-Trek,Eritrea,187,68,30,59,41,20,67,42,33,34,46,57
Edward Theuns,Lidl-Trek,Belgium,183,72,33,83,77,79,57,24,89,32,38,87
Jasper Stuyven,Lidl-Trek,Belgium,187,78,32,91,90,92,86,43,88,57,57,92
Juan Pedro Lopez,Lidl-Trek,Spain,170,60,27,73,40,20,68,73,39,33,72,49
Bauke Mollema,Lidl-Trek,Netherlands,184,64,38,83,67,31,90,54,51,69,52,90
Patrick Konrad,Lidl-Trek,Austria,181,64,33,75,53,34,82,60,59,36,60,78
Daan Hoole,Lidl-Trek,Netherlands,198,814,25,77,71,61,46,23,51,89,35,73
Quinn Simmons,Lidl-Trek,United States,185,72,23,75,53,20,83,44,47,46,47,79
Alex Kirsch,Lidl-Trek,Luxembourg,194,78,32,83,74,87,57,27,76,58,47,83
Jonathan Milan,Lidl-Trek,Italy,193,84,24,90,89,84,70,27,95,61,37,90
Andrea Bagioli,Lidl-Trek,Italy,176,60,25,79,59,20,89,55,56,35,41,89
Carlos Verona,Lidl-Trek,Spain,186,68,32,77,37,20,64,81,41,29,73,42
Mattias Skjelmose,Lidl-Trek,Denmark,180,65,24,91,78,25,91,90,64,88,90,90
Logan Currie,Lotto,New Zealand,168,0,23,55,47,25,52,33,40,51,42,53
Reuben Thompson,Lotto,New Zealand,183,66,23,57,40,20,62,46,39,20,43,59
Robin Orins,Lotto,Belgium,190,0,22,45,45,38,40,29,33,46,28,50
Arnaud De Lie,Lotto,Belgium,182,78,22,93,90,91,90,36,93,20,51,96
Baptiste Veistroffer,Lotto,France,182,73,24,37,35,35,37,24,33,28,31,42
Steffen De Schuyteneer,Lotto,Belgium,182,73,19,51,51,46,41,25,55,25,36,51
Arjen Livyns,Lotto,Belgium,170,58,30,62,52,52,62,34,62,20,37,69
Jonas Gregaard,Lotto,Denmark,184,66,28,53,37,20,56,49,36,34,45,51
Cédric Beullens,Lotto,Belgium,190,79,28,74,67,65,62,31,78,33,39,82
Milan Menten,Lotto,Belgium,174,68,28,82,77,77,75,29,83,20,42,87
Lionel Taminiaux,Lotto,Belgium,173,74,28,83,79,74,63,24,89,20,32,89
Brent Van Moer,Lotto,Belgium,191,79,27,79,68,84,71,35,59,47,49,85
Sébastien Grignard,Lotto,Belgium,179,68,25,54,45,54,51,28,50,29,36,63
Jarrad Drizners,Lotto,Australia,186,70,25,43,39,20,36,24,46,31,38,43
Jarne Van de Paar,Lotto,Belgium,187,79,24,67,61,31,35,22,82,20,34,72
Liam Slock,Lotto,Belgium,188,78,24,67,54,68,66,30,53,20,38,77
Henri Vandenabeele,Lotto,Belgium,181,0,24,35,27,20,35,30,32,20,32,32
Jasper De Buyst,Lotto,Belgium,179,72,31,71,59,61,73,29,64,26,39,83
Eduardo Sepulveda,Lotto,Argentina,173,59,33,62,39,20,64,57,35,25,57,60
Jenno Berckmoes,Lotto,Belgium,177,61,23,80,69,75,85,42,62,37,53,86
Lennert Van Eetvelt,Lotto,Belgium,176,63,23,88,59,20,91,81,55,35,83,89
Lars Craps,Lotto,Belgium,185,67,23,55,46,59,53,33,40,28,38,57
Lorenz Van de Wynkele,Lotto,Belgium,182,75,23,49,48,47,36,22,52,20,27,50
Joshua Giddings,Lotto,Great Britain,195,0,21,45,44,40,32,21,48,36,26,46
Alec Segaert,Lotto,Belgium,188,79,22,82,77,68,69,33,48,85,61,82
Manlio Moro,Movistar Team,Italy,190,81,22,36,31,29,31,21,38,29,25,41
Lorenzo Milesi,Movistar Team,Italy,180,70,22,70,61,44,54,35,55,73,35,67
Nelson Oliveira,Movistar Team,Portugal,180,67,35,80,77,39,66,56,53,91,50,75
Iván García Cortina,Movistar Team,Spain,183,77,29,85,75,86,75,32,84,20,37,89
Carlos Canal,Movistar Team,Spain,179,70,23,73,59,50,77,42,71,36,46,79
Ivan Romeo,Movistar Team,Spain,193,75,21,68,59,34,65,35,39,69,42,70
Pablo Castrillo,Movistar Team,Spain,183,74,24,75,47,20,65,79,36,54,53,56
Enric Mas,Movistar Team,Spain,177,61,30,92,59,29,91,93,54,58,91,88
Javier Romo,Movistar Team,Spain,184,70,26,71,49,55,73,67,47,34,65,62
Gregor Mühlberger,Movistar Team,Austria,180,64,30,68,46,20,74,65,43,32,48,70
Ruben Guerreiro,Movistar Team,Portugal,178,65,30,71,43,29,76,62,49,25,58,71
Diego Pescador,Movistar Team,Colombia,174,60,20,34,29,20,36,32,28,22,29,35
Pelayo Sanchez,Movistar Team,Spain,177,62,24,70,46,21,74,70,47,32,53,66
Fernando Gaviria,Movistar Team,Colombia,181,71,30,78,74,26,55,32,92,20,34,65
Davide Formolo,Movistar Team,Italy,182,62,32,79,53,26,88,59,51,30,53,87
Nairo Quintana,Movistar Team,Colombia,167,59,34,78,39,34,68,83,43,28,70,56
Gonzalo Serrano,Movistar Team,Spain,177,65,30,71,53,42,78,37,61,35,41,81
Jorge Arcas,Movistar Team,Spain,187,68,32,49,36,20,52,29,45,20,40,50
Antonio Pedrero,Movistar Team,Spain,177,60,33,53,32,20,52,55,33,20,44,44
Mathias Norsgaard,Movistar Team,Denmark,202,81,27,67,56,73,48,26,55,33,32,73
Jon Barrenetxea,Movistar Team,Spain,188,74,24,65,43,20,72,35,58,20,41,70
Orluis Aular,Movistar Team,Venezuela,176,65,28,74,60,20,79,36,74,41,49,79
Davide Cimolai,Movistar Team,Italy,181,70,35,69,55,20,47,25,82,20,38,68
Jefferson Cepeda,Movistar Team,Ecuador,170,61,28,68,49,20,72,54,43,41,58,69
Albert Torres,Movistar Team,Spain,180,70,34,41,35,37,36,30,42,29,37,43
Einer Rubio,Movistar Team,Colombia,164,56,26,88,44,20,77,91,50,34,87,62
William Barta,Movistar Team,United States,180,61,29,66,50,21,59,52,40,65,60,49
Natnael Tesfazion,Movistar Team,Eritrea,175,60,25,72,56,20,80,41,59,20,48,79
Emils Liepins,Q36.5 Pro Cycling Team,Latvia,175,67,32,68,62,44,53,25,75,40,32,71
Walter Calzoni,Q36.5 Pro Cycling Team,Italy,172,0,23,59,44,40,67,40,38,20,39,67
Gianluca Brambilla,Q36.5 Pro Cycling Team,Italy,170,57,37,68,47,33,77,40,49,20,46,76
Enekoitz Azparren,Q36.5 Pro Cycling Team,Spain,180,0,22,38,35,28,38,24,37,25,30,45
Giacomo Nizzolo,Q36.5 Pro Cycling Team,Italy,184,72,35,73,65,48,59,25,81,20,30,78
Frederik Frison,Q36.5 Pro Cycling Team,Belgium,193,84,32,67,63,74,48,24,53,33,33,74
Fabio Christen,Q36.5 Pro Cycling Team,Switzerland,184,0,22,73,66,74,70,30,65,30,41,83
Sjoerd Bax,Q36.5 Pro Cycling Team,Netherlands,185,78,29,66,58,66,64,26,44,54,39,75
Matteo Badilatti,Q36.5 Pro Cycling Team,Switzerland,178,62,32,55,30,20,54,56,30,25,49,48
Matteo Moschetti,Q36.5 Pro Cycling Team,Italy,180,73,28,75,68,32,46,26,90,20,30,87
